Crops,,1989–90,1990–91,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22,2022–23 s,2023–24 s,2024–25 f
Production,kt,939,747,1 443.3,546.1,1 081.5,1 272.2,1 592.2,1 424.8,1 080.8,1 886.9,2 113.9,1 934.3,2 018.6,1 464.2,2 008.7,2 010.3,1 931.1,1 282.1,3 789.9,2 691.4,1 507.6,1 934.5,2 234.9,2 229.0,1 282.3,2 210.2,1 790.8,994.3,1 257.2,1 160.7,398,1 639.0,2 648.1,2 637.8,2 215.0,2 324.6
Cottonseed a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,239.8,279,312,286,294,246,303.9,396.1,438.2,561.5,464.3,527.3,409,224.5,198.1,320.9,335.5,143.6,62.7,164,208.3,590.2,600,442,392,197,270,557,525.6,379.3,69.4,297.4,635.3,571.7,473.9,521
Production,kt,493,686,749,527.5,465.5,473.6,594.8,860.1,941.3,1 024.4,1 046.2,1 140.0,1 053.5,545.8,493.7,912.3,844.4,387.8,187.8,465.5,547,1 269.4,1 620.3,1 165.9,1 014.7,605,721.2,1 021.4,1 212.4,574.8,130.8,696.5,1 536.4,1 435.8,1 251.7,1 295.8
Cotton lint a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,239.8,279,312,286,294,246,303.9,396.1,438.2,561.5,464.3,527.3,409,224.5,198.1,320.9,335.5,143.6,62.7,164,208.3,590.2,600,442,392,197,270,557,525.6,379.3,69.4,297.4,635.3,571.7,473.9,521
Production,kt,305,447,554.5,409.3,367.5,375,421.2,610.1,665.7,715.6,740.5,819,703.3,387.1,349.1,645.1,597.1,301.4,132.8,329.2,386.8,925.7,1 224.6,1 017.0,885.1,527.8,629.1,891,1 057.5,484.6,114.1,607.6,1 276.9,1 252.5,1 091.9,1 130.1
Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,105,89,113,106,125,119,137,152,147,148,131,177,144,47,66,51,102,20,2.1,7.2,18.9,75.8,103.1,113.6,74.9,69.7,26.6,82.2,61.2,7.6,5,45.1,62.5,51.9,57.7,43.7
Production,kt,846,740,957,858,1 042.0,1 016.0,966,1 254.0,1 324.0,1 362.0,1 084.0,1 643.0,1 193.0,438,553,339,1 002.0,163,17.6,60.9,196.7,723.3,918.7,1 161.1,819.3,690.4,273.9,807.3,635.1,66.8,50.2,423,691.4,507.5,621,443.9
Corn (maize),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,51.9,48,51.7,44.9,43.7,50,56.2,66.6,57.3,64.2,82.2,74.2,82.5,49.5,70.1,72.4,67.2,48.6,68,64.6,59,62.2,69.3,78,52.3,59.6,53.3,67.8,52.7,58.9,37.7,45.7,52.6,52.2,49.7,46.8
Production,kt,218,193,268.2,198.2,203.4,241.7,310.9,397.5,271.4,337.3,405.8,344.6,453.3,310,395,419.7,361.9,239.4,387,375.7,328,356.9,448.9,505.9,389.5,494.6,400,436.2,387.2,327.2,267.6,305.7,430,411,378.7,350.8
Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,49,40,29.6,30.2,40.6,17.8,23.7,38.8,31.7,55,54.4,33.2,31.9,6.2,27,26.6,23.8,12.7,14.9,42.3,31.3,17.4,33.2,47.7,24.9,20.2,20.8,16.7,32.1,13.4,9.7,23.4,25.5,20.7,22,25.6
Production,kt,77,62,62.6,48.9,81.3,27.2,43.9,74.4,54,107.2,100.8,48.6,62.3,9.2,59.8,44.7,50.1,25.5,34.7,80.1,59.6,29.8,52.3,69.5,31.9,37.4,29.4,31.3,28.9,15.1,17.3,40.1,57.2,52,65.3,69.6
Sunflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,66.4,166,78.7,59.7,112.7,135.7,82.4,138.8,89.8,193,161.5,82.3,78.2,47.4,72.4,47.9,77.5,18.8,48.4,51.8,26.6,37.2,24.9,32.7,17.1,25.4,22.8,16.1,14.3,11,8.5,18.4,19.4,25.1,21.1,22.1
Production,kt,73,152,84.2,49.8,104.7,111.8,68.5,143.4,83.7,218.4,169.8,77.5,69.6,25.7,56.3,60.7,82,15.6,73,55.3,41,42.5,28.5,37.9,18.2,30.4,19.2,17.3,13.6,9.2,11,25.9,29.8,37,32,34.8
